국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:202001 ~202207 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
2020.07,니카라과,154,"4,560",87,"15,260","-10,700"
2020.07,세네갈,441,"4,361",87,"6,209","-1,848"
2020.07,기타국,31,"4,174",551,"315,581","-311,407"
2020.07,엘살바도르,279,"3,868",157,"4,687",-819
2020.07,사이프러스,130,"3,808",35,"17,220","-13,412"
2020.07,쿠바,22,"3,713",6,63,"3,650"
2020.07,파푸아 뉴기니,80,"3,492",31,"4,123",-631
2020.07,시리아,251,"3,385",6,2,"3,383"
2020.07,사모아,34,"3,186",3,54,"3,132"
2020.07,부르키나 파소,22,"3,141",2,63,"3,079"
2020.07,타지크,890,"3,125",0,0,"3,125"
2020.07,트리니다드 토바고,74,"3,124",29,"9,109","-5,985"
2020.07,볼리비아,101,"3,091",6,"5,162","-2,071"
2020.07,아이슬란드,52,"3,001",41,959,"2,042"
2020.07,나미비아,16,"2,984",11,"1,454","1,530"
2020.07,아프카니스탄,80,"2,945",11,76,"2,869"
2020.07,우간다,67,"2,710",32,651,"2,059"
2020.07,불령 리유니온 코모도 제도,32,"2,578",3,3,"2,576"
2020.07,불령 폴리네시아,40,"2,447",1,39,"2,407"
2020.07,기니,270,"2,318",45,"4,668","-2,349"
2020.07,마다카스카르,134,"2,209",90,"1,075","1,134"
2020.07,모리셔스,154,"2,088",40,377,"1,711"
2020.07,아르메니아,70,"2,001",65,"1,461",540
2020.07,알바니아,149,"1,757",189,575,"1,182"
2020.07,베네주엘라,52,"1,664",10,142,"1,522"
2020.07,잠비아,57,"1,522",4,32,"1,490"
2020.07,마카오,149,"1,511",52,"1,877",-366
2020.07,콩고,43,"1,503",2,0,"1,503"
2020.07,팔레스타인 해방기구,29,"1,494",5,9,"1,485"
2020.07,룩셈부르그,103,"1,445",224,"8,208","-6,763"
2020.07,짐바브웨,29,"1,391",17,"1,909",-518
2020.07,마세도니아,45,"1,176",31,396,781
2020.07,콩고민주공화국,39,"1,174",31,"40,256","-39,081"
2020.07,뉴 칼레도니아,73,"1,159",13,"19,994","-18,835"
2020.07,라오스,105,"1,156",107,"3,372","-2,216"
2020.07,소말리아,25,"1,066",4,240,826
2020.07,리히텐슈타인,29,"1,029",64,816,213
2020.07,가이아나,34,974,124,39,935
2020.07,북마리아나 군도,111,929,6,51,878
2020.07,몰도바,68,906,267,"1,514",-608
2020.07,세이쉘,22,886,9,551,335
2020.07,아메리칸 사모아,16,853,23,230,622
2020.07,말리,24,804,1,2,802
2020.07,마이크로네시아,83,745,1,5,740
2020.07,자마이카,43,703,10,328,375
2020.07,말라위,8,674,18,179,495
2020.07,보스니아-헤르체고비나,25,670,96,"1,210",-540
2020.07,티모르,8,574,58,13,562
2020.07,키리바티,58,568,6,50,519
2020.07,바하마,41,504,3,2,502
2020.07,바누아투,41,503,11,457,46
2020.07,바베이도스,10,498,6,51,447
2020.07,부룬디,11,455,7,22,434
2020.07,르완다,58,452,20,115,337
2020.07,모리타니,11,447,24,"3,321","-2,874"
2020.07,팔라우,22,441,1,0,441
2020.07,큐라소,22,431,0,0,431
2020.07,베닝,12,417,0,0,417
2020.07,솔로몬 군도,21,416,11,"2,001","-1,584"
2020.07,몬테네그로,9,410,1,1,409
2020.07,부탄,74,386,0,0,386
2020.07,세인트 마틴,5,351,0,0,351
2020.07,보츠와나,17,351,3,43,308
2020.07,마티니크,8,342,1,5,337
2020.07,벨리제,11,335,0,1,334
2020.07,시에라 리온,23,329,17,"1,460","-1,131"
2020.07,가봉,33,313,6,320,-7
2020.07,스와질랜드,16,307,8,120,187
2020.07,수리남,14,304,16,"1,211",-906
2020.07,몰디브,19,288,0,60,228
2020.07,적도 기니,4,285,1,0,285
2020.07,도미니카,12,273,1,11,262
2020.07,허드 앤 맥도날드 군도,1,227,0,0,227
2020.07,아루바,15,217,1,1,217
2020.07,불령 가이아나,9,210,0,0,210
2020.07,상토메 프린스페,1,180,0,0,180
2020.07,과델로프,9,172,0,0,172
2020.07,에리트리아,4,113,1,"7,364","-7,250"
2020.07,네덜란드 열도,9,110,0,3,107
2020.07,모나코,6,94,4,264,-170
2020.07,니제르,4,91,2,6,85
2020.07,안티가 바부다,9,87,5,3,83
2020.07,감비아,52,83,5,524,-440
2020.07,세인트 루시아,7,82,0,0,82
2020.07,챠드,10,71,0,0,71
2020.07,영령 버진군도,7,67,1,2,65
2020.07,그레나다,2,66,1,0,66
2020.07,세인트 빈센트 그레나딘,1,51,0,0,51
2020.07,나우루,5,49,0,0,49
2020.07,투르크 & 카이코스 군도,4,47,0,0,47
2020.07,남수단,3,35,0,0,35
2020.07,기네비소,2,34,4,338,-303
2020.07,산마리노,3,28,8,295,-267
2020.07,카보 베르데,5,26,1,1,26
2020.07,지브랄타,11,24,2,0,24
2020.07,건지,2,23,6,4,19
2020.07,메요트,2,20,0,0,20
2020.07,코모로스,6,15,0,0,15
2020.07,중앙아프리카공화국,3,13,1,27,-14
2020.07,안도라,1,9,27,9,1
2020.07,영령 캐이맨 군도,7,8,0,0,8
2020.07,세인트 바르탤르미,4,4,0,0,4
2020.07,미령 버진군도,10,3,3,5,-2
2020.07,통가,1,3,2,8,-5
2020.07,몬트세라트,1,1,0,0,1
2020.07,앙귈라,2,1,4,1,-1
2020.07,토켈라우,0,0,2,0,0
2020.07,그린랜드,0,0,1,13,-13
2020.07,쿡 아일랜드,0,0,1,15,-15
2020.07,스발비드 군도,0,0,0,0,0
2020.07,세인트 헬레나,0,0,2,9,-9
2020.07,니우에,0,0,1,1,-1
2020.07,교황청,0,0,1,0,0
2020.07,레소토,0,0,3,3,-3
2020.07,코스 군도,0,0,1,1,-1
2020.07,맨섬,0,0,2,1,-1
2020.08,중국,"193,740","10,937,538","372,769","8,259,963","2,677,575"
2020.08,미국,"145,871","5,581,925","1,243,689","4,614,340","967,585"
2020.08,베트남,"51,862","4,107,145","42,267","1,850,550","2,256,595"
2020.08,홍콩,"24,857","2,150,969","31,517","141,011","2,009,958"
2020.08,일본,"190,724","1,761,393","151,538","3,538,571","-1,777,178"
2020.08,대만,"25,306","1,413,335","22,864","1,494,593","-81,258"
2020.08,인도,"14,493","858,405","10,066","370,371","488,034"
2020.08,싱가포르,"31,497","711,140","12,772","669,747","41,393"
2020.08,독일,"13,054","637,646","202,936","1,412,839","-775,192"
2020.08,멕시코,"11,147","635,886","6,646","328,661","307,225"
2020.08,말레이시아,"18,601","574,612","11,362","711,193","-136,581"
2020.08,필리핀,"10,393","566,775","6,973","213,218","353,557"
2020.08,호주,"13,084","562,582","49,944","1,207,179","-644,597"
2020.08,태국,"13,160","541,161","20,422","391,215","149,946"
2020.08,러시아 연방,"8,929","505,635","1,796","674,787","-169,151"
2020.08,캐나다,"16,860","446,191","19,984","371,371","74,820"
2020.08,폴란드,"6,219","438,343","2,365","59,606","378,737"
2020.08,튀르키예,"5,027","422,524","3,184","67,383","355,140"
2020.08,인도네시아,"20,425","415,223","7,181","478,444","-63,221"
2020.08,네덜란드,"6,564","325,480","5,306","181,526","143,954"
2020.08,아랍에미리트 연합,"5,436","300,320",608,"407,824","-107,504"
2020.08,브라질,"6,544","293,807","1,696","311,261","-17,454"
2020.08,몰타,241,"266,441",125,"12,640","253,801"
2020.08,헝가리,"1,898","265,113","1,417","40,763","224,350"
2020.08,사우디아라비아,"2,457","263,558",532,"1,115,023","-851,464"
2020.08,영국,"7,619","251,773","37,133","468,836","-217,063"
2020.08,마샬군도,37,"250,474",20,303,"250,171"
2020.08,체코공화국,"2,393","243,986","2,976","60,651","183,334"
2020.08,이탈리아,"3,976","233,385","66,281","586,830","-353,445"
2020.08,라이베리아,107,"210,823",44,303,"210,520"
2020.08,프랑스,"5,167","196,887","23,038","491,888","-295,001"
2020.08,노르웨이,499,"195,598","2,188","135,313","60,286"
2020.08,스페인,"3,240","185,207","6,232","152,660","32,547"
2020.08,벨기에,"1,789","159,896","2,456","100,947","58,949"
2020.08,슬로바키아,"1,121","143,932","1,061","44,178","99,755"
2020.08,바하마,27,"109,381",1,0,"109,381"
2020.08,뉴질랜드,"2,233","103,768","40,927","99,148","4,619"
2020.08,오스트리아,"2,043","98,397","4,868","207,661","-109,264"
2020.08,이스라엘,"2,175","90,587","1,471","98,380","-7,792"
2020.08,파키스탄,"1,450","86,405",648,"15,143","71,263"
2020.08,토고,142,"79,585",30,"4,057","75,529"
2020.08,우즈베크,"1,016","78,476",61,"1,122","77,353"
2020.08,이집트,"2,661","78,012","1,190","30,343","47,668"
2020.08,이라크,627,"73,028",41,"536,111","-463,083"
2020.08,스위스,"1,001","72,204","4,129","213,523","-141,320"
2020.08,아일랜드,614,"64,890","1,267","85,133","-20,243"
2020.08,카자흐스탄,"1,285","60,789",38,"153,261","-92,472"
2020.08,방글라데시,"2,021","60,562",955,"34,598","25,964"
2020.08,슬로베니아,517,"52,763",394,"8,631","44,132"
2020.08,콜롬비아,"1,103","52,176",693,"62,063","-9,888"
2020.08,칠레,"2,211","51,989","1,486","308,347","-256,358"
2020.08,스웨덴,"1,114","51,689","3,406","142,905","-91,216"
2020.08,미얀마,"1,275","49,288",687,"51,217","-1,929"
2020.08,남아프리카공화국,"1,633","48,814",470,"159,015","-110,201"
2020.08,포루투갈,856,"43,673","5,386","31,135","12,538"
2020.08,오만,"1,195","42,686",55,"84,335","-41,649"
2020.08,요르단,"1,382","42,564",74,"8,737","33,827"
2020.08,캄보디아,"2,158","41,422",624,"30,712","10,711"
2020.08,나이지리아,854,"37,525",92,"25,102","12,423"
2020.08,루마니아,938,"34,560","3,362","47,221","-12,661"
2020.08,페루,974,"32,907",610,"85,028","-52,122"
2020.08,덴마크,"1,103","29,284","2,510","81,422","-52,138"
2020.08,바레인,237,"28,590",63,"16,770","11,820"
2020.08,쿠웨이트,646,"28,078",68,"500,783","-472,704"
2020.08,우크라이나,"1,796","26,586",295,"11,322","15,264"
2020.08,푸에르토리코,199,"25,500",114,"17,262","8,238"
2020.08,몽골,"2,003","23,635","1,191","1,573","22,061"
2020.08,아르헨티나,991,"22,812",488,"81,819","-59,007"
2020.08,리비아,"5,038","20,733",16,"2,620","18,113"
2020.08,카타르,717,"20,393",166,"566,472","-546,079"
2020.08,케냐,363,"20,171",100,"3,501","16,669"
2020.08,가나,"1,818","20,117",37,"4,259","15,858"
2020.08,모로코,307,"19,182",704,"9,427","9,755"
2020.08,알제리,204,"18,957",30,"83,178","-64,221"
2020.08,핀란드,741,"18,704","1,173","69,365","-50,661"
2020.08,리투아니아,321,"18,337",533,"6,517","11,820"
2020.08,세르비아,199,"18,047",122,"12,748","5,299"
2020.08,그리스,785,"17,936",451,"102,938","-85,002"
2020.08,에쿠아도르,392,"17,857",255,"7,144","10,712"
2020.08,과테말라,"1,337","15,074",311,"12,066","3,008"
2020.08,투르크멘,14,"14,251",0,0,"14,251"
2020.08,스리랑카,850,"13,891",493,"10,811","3,080"
2020.08,도미니카 공화국,371,"13,261",154,"6,986","6,276"
2020.08,불가리아,356,"12,732","1,128","20,282","-7,549"
2020.08,이란,188,"12,524",37,470,"12,054"
2020.08,탄자니아,312,"11,473",26,"7,755","3,719"
2020.08,에스토니아,250,"10,723",312,"6,204","4,520"
2020.08,코스타리카,349,"10,580",383,"15,539","-4,959"
2020.08,수단,303,"9,679",2,8,"9,671"
2020.08,튀니지,161,"9,351",687,"6,264","3,087"
2020.08,온두라스,369,"9,306",93,"4,059","5,247"
2020.08,예맨,"1,864","8,898",43,"2,829","6,069"
2020.08,이디오피아,94,"8,840",239,"8,190",651
2020.08,조지아,485,"8,469",34,166,"8,303"
2020.08,코트디봐르,141,"8,261",18,587,"7,674"
2020.08,키르기스스탄,831,"7,272",5,1,"7,271"
2020.08,파나마,644,"6,902",113,"3,524","3,377"
2020.08,세네갈,429,"6,757",71,"6,434",323
2020.08,우루과이,184,"6,626",64,"12,739","-6,113"
2020.08,마티니크,11,"5,554",0,2,"5,552"
2020.08,니카라과,135,"5,284",62,"1,104","4,180"
2020.08,파라과이,137,"5,232",16,"1,190","4,042"
2020.08,타지크,"1,008","5,128",0,0,"5,128"
2020.08,엘살바도르,267,"5,037",146,"1,878","3,159"
2020.08,파푸아 뉴기니,63,"4,966",38,"25,968","-21,002"
2020.08,부탄,19,"4,763",1,0,"4,762"
2020.08,레바논,121,"4,508",51,"1,559","2,949"
2020.08,라트비아,188,"4,312",323,"10,135","-5,823"
2020.08,베라루스,136,"4,302",55,673,"3,629"
2020.08,크로아티아,140,"4,278",164,"1,760","2,518"
2020.08,트리니다드 토바고,72,"4,238",26,"6,909","-2,671"
2020.08,아이티,107,"4,228",20,333,"3,895"
2020.08,마다카스카르,141,"4,130",76,"1,070","3,060"
2020.08,모잠비크,49,"4,117",9,"20,490","-16,373"
2020.08,아제르바이잔,305,"3,980",7,10,"3,971"
2020.08,불령 리유니온 코모도 제도,37,"3,759",1,41,"3,718"
2020.08,우간다,54,"3,663",30,369,"3,294"
2020.08,지부티,71,"3,596",4,192,"3,404"
2020.08,사모아,19,"3,586",4,145,"3,441"
2020.08,앙골라,181,"3,451",16,"7,598","-4,146"
2020.08,브루나이,119,"3,435",10,"15,065","-11,630"
2020.08,사이프러스,132,"3,144",24,266,"2,878"
2020.08,시리아,270,"3,029",8,1,"3,028"
2020.08,괌,302,"3,010",23,166,"2,844"
2020.08,모리셔스,131,"2,748",36,648,"2,100"
2020.08,아이슬란드,50,"2,596",36,282,"2,314"
2020.08,부르키나 파소,17,"2,575",0,0,"2,575"
2020.08,보츠와나,12,"2,384",3,33,"2,352"
2020.08,네팔,76,"2,320",70,135,"2,185"
2020.08,불령 폴리네시아,38,"2,183",2,127,"2,056"
2020.08,르완다,53,"2,174",49,88,"2,087"
2020.08,라오스,119,"2,077",102,"3,071",-994
2020.08,팔레스타인 해방기구,26,"2,044",3,192,"1,852"
2020.08,기타국,30,"1,979",528,"379,413","-377,434"
2020.08,카메룬,139,"1,977",18,58,"1,919"
2020.08,콩고민주공화국,50,"1,871",32,"36,078","-34,207"
2020.08,볼리비아,80,"1,793",22,"24,863","-23,070"
2020.08,베네주엘라,47,"1,686",18,"1,003",683
2020.08,아프카니스탄,43,"1,599",21,233,"1,366"
2020.08,기니,224,"1,587",40,"3,384","-1,796"
2020.08,콩고,55,"1,534",7,596,938
2020.08,마세도니아,34,"1,487",25,534,953
2020.08,북마리아나 군도,104,"1,468",4,133,"1,334"
2020.08,짐바브웨,34,"1,464",4,366,"1,098"
2020.08,룩셈부르그,87,"1,450",166,"4,134","-2,684"
2020.08,피지,66,"1,446",29,334,"1,111"
2020.08,가이아나,40,"1,436",85,95,"1,341"
2020.08,말리,24,"1,340",0,0,"1,340"
2020.08,잠비아,48,"1,298",4,"1,961",-663
2020.08,몰도바,64,"1,258",390,"1,518",-260
2020.08,소말리아,26,"1,236",3,232,"1,004"
2020.08,마카오,165,"1,202",46,123,"1,079"
2020.08,아르메니아,51,"1,186",69,"2,086",-900
2020.08,과델로프,12,"1,185",1,6,"1,179"
2020.08,네덜란드 열도,13,"1,161",2,0,"1,161"
2020.08,자마이카,39,"1,156",17,263,893
2020.08,시에라 리온,21,"1,153",10,847,305
2020.08,알바니아,107,"1,128",245,374,754
2020.08,리히텐슈타인,28,"1,112",40,884,228
2020.08,뉴 칼레도니아,61,"1,081",12,"20,522","-19,442"
2020.08,아메리칸 사모아,16,954,7,173,780
2020.08,나우루,15,902,1,"2,405","-1,503"
2020.08,보스니아-헤르체고비나,33,902,156,"1,074",-173
2020.08,가봉,25,881,14,535,346
2020.08,세이쉘,26,878,4,161,717
2020.08,마이크로네시아,48,715,2,4,711
2020.08,모리타니,12,643,23,"2,436","-1,793"
2020.08,솔로몬 군도,12,528,6,333,195
2020.08,키리바티,26,375,2,948,-573
2020.08,수리남,18,367,9,433,-66
2020.08,불령 가이아나,10,348,0,0,348
2020.08,바베이도스,6,348,7,139,209
2020.08,세인트 마틴,6,341,0,0,341
2020.08,베닝,20,311,0,0,311
2020.08,감비아,53,309,8,437,-128
2020.08,아루바,24,289,3,1,288
2020.08,세인트 키츠 네비스,7,266,1,1,265
2020.08,바누아투,29,255,13,"1,209",-953
2020.08,팔라우,21,244,2,31,213
2020.08,쿠바,12,233,4,731,-498
2020.08,큐라소,12,212,0,0,212
2020.08,몬테네그로,6,209,4,287,-78
2020.08,버뮤다,6,207,0,0,207
2020.08,몰디브,28,198,0,0,198
2020.08,말라위,9,174,8,67,108
2020.08,벨리제,7,123,4,129,-6
2020.08,니제르,5,115,2,3,112
2020.08,지브랄타,8,102,1,0,101
2020.08,도미니카,7,95,3,19,76
2020.08,남수단,5,78,0,0,78
2020.08,나미비아,12,62,5,125,-63
2020.08,챠드,10,54,0,0,54
2020.08,영령 버진군도,4,50,0,0,50
2020.08,안티가 바부다,10,47,1,0,47
2020.08,세인트 빈센트 그레나딘,2,44,0,0,44
2020.08,레소토,2,33,3,11,22
2020.08,투발루,1,28,0,0,28
2020.08,스와질랜드,13,28,7,168,-140
2020.08,세인트 루시아,6,21,2,115,-93
2020.08,부룬디,10,16,6,0,16
2020.08,통가,3,16,1,20,-4
2020.08,코모로스,8,15,1,0,14
2020.08,세인트 바르탤르미,2,15,1,0,15
2020.08,영령 캐이맨 군도,8,12,0,0,12
2020.08,상토메 프린스페,2,10,0,0,10
2020.08,티모르,3,9,16,3,5
2020.08,미령 버진군도,4,8,10,7,1
2020.08,그레나다,1,7,1,2,5
2020.08,메요트,1,3,0,0,3
2020.08,산마리노,1,3,10,485,-483
2020.08,투르크 & 카이코스 군도,2,2,1,0,2
2020.08,보네르 신트외스타티위스,2,2,0,0,2
2020.08,모나코,3,2,2,15,-13
2020.08,앙귈라,2,1,4,1,0
2020.08,저어지,3,1,0,0,1
2020.08,적도 기니,3,1,3,"30,788","-30,787"
2020.08,토켈라우,0,0,1,2,-2
2020.08,불령 남부지역,0,0,1,0,0
2020.08,몬트세라트,0,0,0,0,0
2020.08,세인트마틴(생마르탱),1,0,0,0,0
2020.08,카보 베르데,1,0,1,0,0
2020.08,세인트 헬레나,0,0,0,0,0
2020.08,그린랜드,1,0,0,1,-1
2020.08,기네비소,0,0,1,94,-94
2020.08,안도라,0,0,16,6,-6
2020.08,교황청,0,0,0,1,-1
2020.08,건지,0,0,3,14,-14
2020.08,에리트리아,1,0,0,0,0
2020.08,중앙아프리카공화국,0,0,1,25,-25
2020.08,쿡 아일랜드,0,0,1,0,0
2020.08,서사하라,0,0,0,0,0
2020.09,중국,"226,402","12,185,274","460,987","9,166,601","3,018,673"
2020.09,미국,"180,626","6,997,554","1,510,121","4,654,363","2,343,191"
2020.09,베트남,"59,495","4,796,012","44,495","1,970,095","2,825,917"
2020.09,홍콩,"30,137","3,005,224","31,653","98,767","2,906,457"
2020.09,일본,"240,416","2,156,621","159,839","3,872,130","-1,715,509"
2020.09,대만,"28,329","1,524,871","24,244","1,610,958","-86,087"
2020.09,인도,"20,762","1,471,347","11,269","414,205","1,057,143"
2020.09,독일,"16,150","855,044","222,406","1,782,570","-927,526"
2020.09,멕시코,"14,303","779,386","8,855","673,600","105,787"
2020.09,싱가포르,"39,329","759,781","13,228","689,290","70,491"
2020.09,말레이시아,"22,921","739,204","12,054","739,780",-576
2020.09,러시아 연방,"10,739","691,551","2,116","749,834","-58,283"
2020.09,필리핀,"10,845","670,009","7,596","235,531","434,478"
2020.09,호주,"15,557","623,736","65,373","1,705,440","-1,081,704"
2020.09,태국,"14,480","602,661","24,089","418,809","183,852"
2020.09,폴란드,"7,850","586,443","2,681","72,655","513,788"
2020.09,튀르키예,"6,117","578,455","3,638","116,316","462,139"
2020.09,캐나다,"17,294","541,874","21,073","359,240","182,634"
2020.09,인도네시아,"21,482","533,789","7,599","601,019","-67,230"
2020.09,마샬군도,40,"458,621",22,35,"458,586"
2020.09,브라질,"7,644","401,137","2,112","379,442","21,695"
2020.09,몰타,299,"370,217",157,"12,697","357,520"
2020.09,영국,"9,187","354,657","39,538","334,291","20,366"
2020.09,체코공화국,"3,569","334,503","3,586","71,151","263,352"
2020.09,사우디아라비아,"2,884","327,970",513,"1,163,346","-835,376"
2020.09,네덜란드,"8,346","322,703","5,484","524,452","-201,749"
2020.09,아랍에미리트 연합,"6,699","291,622",585,"448,875","-157,253"
2020.09,이탈리아,"5,252","285,738","69,680","611,237","-325,499"
2020.09,프랑스,"6,594","285,309","27,632","482,618","-197,309"
2020.09,헝가리,"2,325","244,958","1,931","65,534","179,425"
2020.09,슬로바키아,"1,717","236,689",906,"24,859","211,829"
2020.09,스페인,"3,914","233,628","7,318","170,435","63,193"
2020.09,라이베리아,160,"210,587",43,117,"210,470"
2020.09,벨기에,"2,292","195,430","2,376","136,236","59,194"
2020.09,아일랜드,696,"146,303","1,292","77,483","68,820"
2020.09,노르웨이,534,"138,030","2,439","184,540","-46,510"
2020.09,우즈베크,"1,429","135,995",74,"1,550","134,445"
2020.09,이스라엘,"2,425","125,949","1,587","95,753","30,196"
2020.09,오스트리아,"2,421","113,908","4,126","139,001","-25,093"
2020.09,파키스탄,"1,814","106,559",660,"23,652","82,906"
2020.09,뉴질랜드,"2,690","101,556","49,970","103,269","-1,714"
2020.09,슬로베니아,676,"98,073",410,"8,240","89,833"
2020.09,이집트,"3,703","97,886","1,656","18,675","79,211"
2020.09,카자흐스탄,"1,423","83,238",57,"154,631","-71,393"
2020.09,그리스,947,"82,967",443,"50,498","32,469"
2020.09,스위스,"1,234","79,937","4,361","234,692","-154,755"
2020.09,이라크,871,"77,466",33,"350,497","-273,031"
2020.09,방글라데시,"2,388","75,209",989,"45,588","29,622"
2020.09,칠레,"3,043","73,065","1,465","307,103","-234,038"
2020.09,스웨덴,"1,537","66,799","3,151","119,324","-52,525"
2020.09,토고,135,"65,726",37,"4,254","61,472"
2020.09,오만,"1,395","55,360",45,"97,489","-42,129"
2020.09,미얀마,"1,430","55,119",804,"55,100",18
2020.09,캄보디아,"2,493","54,607",656,"27,695","26,912"
2020.09,남아프리카공화국,"1,926","54,040",687,"189,559","-135,519"
2020.09,포루투갈,999,"46,084","5,660","32,615","13,469"
2020.09,페루,"1,141","45,659",803,"218,967","-173,307"
2020.09,콜롬비아,"1,351","45,481",674,"35,732","9,748"
2020.09,요르단,"1,734","43,375",90,"11,541","31,834"
2020.09,에쿠아도르,451,"42,556",279,"8,595","33,961"
2020.09,덴마크,"1,383","42,337","2,490","72,761","-30,423"
2020.09,우크라이나,"2,582","41,684",427,"39,227","2,457"
2020.09,루마니아,"1,127","40,146","3,941","43,668","-3,522"
2020.09,나이지리아,"1,050","39,244",68,"46,842","-7,598"
2020.09,핀란드,961,"38,884","1,313","64,964","-26,080"
2020.09,바레인,304,"37,524",78,"51,729","-14,205"
2020.09,영령 캐이맨 군도,12,"36,748",1,0,"36,748"
2020.09,세르비아,253,"29,691",137,"15,844","13,847"
2020.09,푸에르토리코,194,"28,733",96,"27,923",810
2020.09,몽골,"2,291","28,489","1,507","2,373","26,116"
2020.09,리비아,"4,878","26,054",15,"2,501","23,552"
2020.09,카타르,804,"25,901",158,"448,564","-422,663"
2020.09,쿠웨이트,746,"25,599",66,"474,167","-448,568"
2020.09,모로코,404,"23,783",943,"17,612","6,171"
2020.09,아르헨티나,"1,146","22,800",492,"91,407","-68,607"
2020.09,가나,"1,885","20,535",27,"1,415","19,121"
2020.09,리투아니아,407,"19,781",566,"8,887","10,894"
2020.09,도미니카 공화국,509,"19,207",123,"5,741","13,465"
2020.09,스리랑카,957,"18,796",541,"16,898","1,897"
2020.09,과테말라,"1,426","17,550",293,"6,653","10,897"
2020.09,탄자니아,374,"17,264",40,"7,021","10,243"
2020.09,투르크멘,17,"16,917",1,1,"16,917"
2020.09,알제리,175,"15,521",19,"99,603","-84,082"
2020.09,수단,373,"15,077",7,996,"14,081"
2020.09,브루나이,148,"15,034",10,"1,590","13,444"
2020.09,케냐,373,"14,734",100,"4,018","10,716"
2020.09,파나마,710,"14,061",122,"89,134","-75,072"
2020.09,불가리아,492,"13,976","1,647","11,904","2,072"
2020.09,예맨,"2,736","13,679",53,"4,964","8,715"
2020.09,엘살바도르,301,"13,516",136,"1,747","11,769"
2020.09,이란,228,"12,278",43,331,"11,946"
2020.09,에스토니아,261,"12,036",308,"5,642","6,394"
2020.09,이디오피아,139,"10,779",196,"5,133","5,646"
2020.09,우루과이,198,"10,207",65,"8,067","2,140"
2020.09,조지아,576,"10,113",54,"1,781","8,332"
2020.09,튀니지,169,"9,721",724,"5,914","3,807"
2020.09,키르기스스탄,936,"9,304",7,92,"9,212"
2020.09,피지,75,"8,157",28,545,"7,612"
2020.09,괌,427,"7,699",28,51,"7,649"
2020.09,니카라과,192,"7,616",47,515,"7,100"
2020.09,크로아티아,168,"7,447",230,"1,834","5,613"
2020.09,아메리칸 사모아,21,"7,429",11,3,"7,426"
2020.09,타지크,"1,440","7,186",1,0,"7,186"
2020.09,온두라스,367,"7,046",91,"1,626","5,420"
2020.09,레바논,194,"7,045",40,"1,972","5,073"
2020.09,쿠바,23,"7,007",0,0,"7,007"
2020.09,모리셔스,131,"6,947",72,645,"6,301"
2020.09,코트디봐르,98,"6,806",7,264,"6,542"
2020.09,파라과이,152,"6,759",33,"1,378","5,382"
2020.09,아제르바이잔,450,"6,615",12,206,"6,409"
2020.09,아이티,145,"6,585",17,246,"6,339"
2020.09,코스타리카,437,"6,117",367,"10,020","-3,903"
2020.09,불령 리유니온 코모도 제도,29,"6,084",1,6,"6,079"
2020.09,라트비아,246,"5,918",310,"7,728","-1,810"
2020.09,네팔,108,"4,891",97,342,"4,549"
2020.09,세네갈,551,"4,807",61,"4,446",360
2020.09,베라루스,160,"4,735",65,"2,321","2,414"
2020.09,모잠비크,68,"4,727",9,"10,570","-5,843"
2020.09,나미비아,15,"4,542",7,"1,382","3,160"
2020.09,사모아,31,"4,514",4,74,"4,440"
2020.09,지부티,85,"4,242",7,493,"3,748"
2020.09,기타국,32,"3,979",515,"419,886","-415,907"
2020.09,마다카스카르,167,"3,793",55,759,"3,034"
2020.09,트리니다드 토바고,72,"3,610",23,"6,858","-3,249"
2020.09,부르키나 파소,26,"3,465",0,1,"3,465"
2020.09,콩고민주공화국,64,"3,377",30,"43,752","-40,375"
2020.09,파푸아 뉴기니,67,"3,331",26,"68,275","-64,944"
2020.09,시리아,397,"3,132",2,2,"3,130"
2020.09,불령 폴리네시아,45,"3,048",2,2,"3,046"
2020.09,사이프러스,148,"2,931",30,"12,792","-9,861"
2020.09,베네주엘라,47,"2,928",34,"2,109",820
2020.09,뉴 칼레도니아,84,"2,884",14,"28,903","-26,020"
2020.09,알바니아,195,"2,830",219,527,"2,303"
2020.09,우간다,52,"2,544",29,587,"1,957"
2020.09,잠비아,60,"2,543",3,"1,663",880
2020.09,라오스,136,"2,484",88,"3,008",-524
2020.09,과델로프,15,"2,458",1,0,"2,457"
2020.09,앙골라,139,"2,378",5,1,"2,377"
2020.09,카메룬,182,"2,372",11,291,"2,081"
2020.09,가이아나,51,"2,254",164,93,"2,161"
2020.09,아프카니스탄,44,"2,233",17,104,"2,129"
2020.09,마카오,205,"2,186",69,57,"2,129"
2020.09,볼리비아,84,"2,061",30,"37,382","-35,322"
2020.09,짐바브웨,25,"1,983",6,198,"1,784"
2020.09,콩고,85,"1,687",5,253,"1,434"
2020.09,룩셈부르그,113,"1,534",192,"8,150","-6,616"
2020.09,몰도바,98,"1,444",388,"2,430",-986
2020.09,팔레스타인 해방기구,54,"1,327",1,73,"1,254"
2020.09,리히텐슈타인,27,"1,312",33,656,655
2020.09,기니,335,"1,280",46,"4,001","-2,721"
2020.09,말라위,12,"1,272",13,160,"1,112"
2020.09,소말리아,24,"1,229",3,434,795
2020.09,가봉,35,"1,175",6,"45,485","-44,310"
